Qual é a definição de Inteligência Artificial (IA) descrita como a atividade dedicada a tornar as máquinas inteligentes?,É a qualidade que permite que uma entidade funcione adequadamente e com previsão em seu ambiente.
"De forma simplificada, a IA é uma área multidisciplinar cujo objetivo é automatizar atividades que requerem _____.",inteligência humana
"Segundo Ricardo Cavallini, a IA representa uma mudança de _____, e não apenas incremental, por ser uma nova maneira de fazer software.",ruptura
"Além de analisar grandes quantidades de dados, a IA pode dar ""vida nova"" a sensores antigos como _____ e _____.",microfone e câmera (áudio e vídeo)
"Que tipo de dados, além dos estruturados, os sistemas de IA conseguem analisar, como visto no exemplo de imagens médicas e notas escritas à mão?",Dados não estruturados.
"Qual pesquisador britânico propôs em 1950 um teste para a inteligência mecânica, hoje conhecido como Teste de Turing?",Alan Turing.
Qual é o princípio do Teste de Turing?,"Se uma máquina for capaz de enganar um humano a pensar que ela é humana, então ela possui inteligência."
"Quem cunhou o termo ""inteligência artificial"" em 1956?",O cientista de computação americano John McCarthy.
Qual foi o acontecimento que marcou o início da IA como campo acadêmico em 1956?,A conferência no campus da Dartmouth College.
"Que tipo de IA, que estamos vendo de forma mais presente com ferramentas como ChatGPT e Gemini, é especializada em criar novos conteúdos?",IA generativa.
"O que significa a sigla LLM, que representa o núcleo de modelos como o ChatGPT?",Large Language Model (Grande Modelo de Linguagem).
"Qual é a arquitetura de rede neural, proposta por pesquisadores do Google, que foi crucial para os avanços recentes em IAs generativas?",Transformers.
"Dentro da arquitetura Transformer, qual técnica é usada para definir pesos e a importância de diferentes partes dos dados de entrada ao construir uma resposta?",O mecanismo de atenção (attention).
"Qual subcampo da IA permite que os computadores entendam, interpretem e gerem linguagem humana, como fazem os assistentes de voz?",Processamento de Linguagem Natural (PLN).
"Qual subcampo da IA permite que computadores ""vejam"" e interpretem informações visuais de imagens e vídeos?",Visão computacional.
O aprendizado de máquina (Machine Learning) se baseia em três formas principais de aprendizado. Quais são elas?,"Supervisionado, não supervisionado e por reforço."
"No aprendizado por _____, o algoritmo aprende recebendo indicações sobre o que é certo e o que é errado, sendo muito usado em jogos.",reforço
Qual a principal diferença entre a IA forte (AGI) e a IA fraca (Narrow AI)?,"A IA forte teria consciência e capacidade de resolver qualquer problema intelectual humano, enquanto a IA fraca é especializada em tarefas específicas."
Qual ferramenta de IA é especializada em integrar diferentes plataformas e criar automações de fluxos de trabalho (workflows) a partir de prompts?,Zapier.
Qual a principal vantagem de usar a IA do Zapier para criar automações?,"Ela cria o workflow para você a partir de um prompt em linguagem natural, sem que você precise mexer diretamente na estrutura."
"Que ferramenta de IA, descrita como ""um funcionário que pensa em overdelivery"", consegue acessar o LinkedIn para encontrar candidatos e criar um site para apresentá-los?",Manus AI.
"A Manus AI pode executar tarefas em paralelo, como analisar currículos, buscar imóveis e criar apresentações, atuando como múltiplos _____.",agentes
"Qual é a melhor IA para estudos, segundo o canal Hashtag Treinamentos, que permite subir fontes (PDFs, vídeos) e interagir com o conteúdo?",NotebookLM.
"Além de responder perguntas, que outros formatos de conteúdo o NotebookLM pode gerar a partir das fontes fornecidas?","Linha do tempo, mapa mental, resumo em áudio (podcast) e cartões de estudo (flashcards)."
"Qual a principal vantagem do NotebookLM em relação ao ChatGPT para estudos, segundo o canal T2 Educação?","Ele baseia suas respostas exclusivamente nas fontes que você fornece, evitando ""alucinações"" ou informações incorretas."
"No contexto de IAs de linguagem, o que é um ""prompt""?","É a instrução, comando ou pergunta que você digita para solicitar uma tarefa à Inteligência Artificial."
"Qual plataforma de IA foi usada no vídeo do canal ""Hora de Negócios"" para criar um aplicativo da Bíblia a partir de um prompt gerado pelo ChatGPT?",Lavavel (ou Lavo AI).
"A IA generativa se refere a uma classe de algoritmos que pode criar novos conteúdos, como textos, imagens, músicas e _____.",códigos de computador
"Segundo o canal Preguiça Artificial, qual é a principal diferença de uso entre o Gemini e o ChatGPT?",Cada IA é melhor em tarefas específicas; não existe uma IA universal que seja a melhor em tudo.
"Qual funcionalidade do Google Gemini permite realizar uma pesquisa muito mais detalhada e profunda sobre um tema, embora leve mais tempo para ser concluída?",A pesquisa profunda (ou investigação).
"A estrutura de prompt de cinco partes sugerida no curso de Gemini inclui: objetivo, contexto, estilo, referências e _____.",o que evitar (prompts negativos)
"Que conceito, abordado por Karl Marx e Kate Crawford, descreve a interrupção sistemática dos ciclos ecológicos pela produção industrial?",Ruptura metabólica.
"De acordo com Kate Crawford, a IA é, em sua essência, uma indústria _____ altamente material, que consome grandes quantidades de energia e água.",extrativa
